Time,Date,Latitude,Longitude,Serving Cell SS RSRP (dBm): Top #1,Serving Cell SS RSRQ (dB): Top #1,Serving Cell SS SINR (dB): Top #1,Serving Cell Identity: Top #1
34:47.3,2/29/2024,18.308072,42.7540664,-89.2,-10.6,10.5,552
34:47.3,2/29/2024,18.3080718,42.754068,-103.9,-10.8,10.3,36
34:47.3,2/29/2024,18.3080718,42.754068,-88.3,-10.6,10.5,552
34:47.3,2/29/2024,18.3080718,42.7540683,-88.3,-10.6,11.1,552
34:47.3,2/29/2024,18.3080717,42.7540688,-88.3,-10.6,9,552
34:47.4,2/29/2024,18.3080715,42.7540702,-103.9,-10.8,11.2,36
34:47.4,2/29/2024,18.3080715,42.7540702,-103.9,-10.8,11.7,36
34:47.4,2/29/2024,18.3080715,42.7540702,-88.3,-10.6,9.9,552
34:47.4,2/29/2024,18.3080715,42.7540707,-103.9,-10.8,10.8,36
34:47.4,2/29/2024,18.3080714,42.7540711,-88.3,-10.6,10.6,552
34:47.4,2/29/2024,18.3080713,42.7540723,-103.9,-10.8,13,36
34:47.4,2/29/2024,18.3080713,42.7540724,-88.3,-10.6,8.3,552
34:47.4,2/29/2024,18.3080712,42.7540732,-103.9,-10.8,12.2,36
34:47.4,2/29/2024,18.3080711,42.7540734,-103.9,-10.8,10,36
34:47.4,2/29/2024,18.308071,42.7540744,-91.8,-10.6,10.1,998
34:47.4,2/29/2024,18.308071,42.7540744,-88.3,-10.6,6.2,552
34:47.4,2/29/2024,18.308071,42.7540747,-88.3,-10.6,6.5,552
34:47.4,2/29/2024,18.308071,42.754075,-103.9,-10.8,14.5,36
34:47.4,2/29/2024,18.3080709,42.7540751,-103.6,-10.8,14.5,36
34:47.5,2/29/2024,18.3080708,42.754076,-91.8,-10.6,11.5,998
34:47.5,2/29/2024,18.3080708,42.754076,-88.3,-10.6,3.6,552
34:47.5,2/29/2024,18.3080708,42.754076,-91.8,-10.6,12.7,998
34:47.5,2/29/2024,18.3080708,42.754076,-89.4,-11.6,3.6,552
34:47.5,2/29/2024,18.3080708,42.7540761,-103.6,-10.8,18.1,36
34:47.5,2/29/2024,18.3080708,42.7540765,-89.4,-11.6,7,552
34:47.5,2/29/2024,18.3080707,42.7540769,-91.8,-10.6,13.6,998
34:47.5,2/29/2024,18.3080706,42.7540779,-103.6,-10.8,15,36
34:47.5,2/29/2024,18.3080706,42.7540779,-89.4,-11.6,7.7,552
34:47.5,2/29/2024,18.3080706,42.7540779,-103.6,-10.8,18.1,36
34:47.5,2/29/2024,18.3080706,42.7540782,-91.8,-10.6,13.6,998
34:47.5,2/29/2024,18.3080706,42.7540782,-91.8,-10.6,12.9,998
34:47.5,2/29/2024,18.3080705,42.7540784,-92.7,-10.6,12.9,998
34:47.5,2/29/2024,18.3080705,42.7540785,-92.7,-10.6,12.2,998
34:47.5,2/29/2024,18.3080705,42.7540785,-89.4,-11.6,8.6,552
34:47.5,2/29/2024,18.3080704,42.7540797,-103.6,-10.8,13.7,36
34:47.5,2/29/2024,18.3080703,42.7540801,-89.4,-11.6,10.6,552
34:47.5,2/29/2024,18.3080703,42.7540802,-92.7,-10.6,10.7,998
34:47.5,2/29/2024,18.3080703,42.7540803,-92.7,-10.6,16.8,998
34:47.6,2/29/2024,18.3080702,42.7540816,-103.6,-10.8,8.4,36
34:47.6,2/29/2024,18.3080702,42.7540817,-89.4,-11.6,11.2,552
34:47.6,2/29/2024,18.3080701,42.7540824,-103.6,-10.8,14.6,36
34:47.6,2/29/2024,18.3080701,42.7540824,-89.4,-11.6,12.6,552
34:47.6,2/29/2024,18.3080701,42.7540825,-103.6,-10.8,17.7,36
34:47.6,2/29/2024,18.30807,42.7540827,-92.7,-10.6,12.5,998
34:47.6,2/29/2024,18.3080699,42.7540836,-89.4,-11.6,10.7,552
34:47.6,2/29/2024,18.3080699,42.7540836,-92.7,-10.6,11.7,998
34:47.6,2/29/2024,18.3080699,42.7540838,-103.6,-10.8,14.6,36
34:47.6,2/29/2024,18.3080699,42.7540839,-102.3,-10.7,14.6,36
34:47.6,2/29/2024,18.3080698,42.7540842,-89.4,-11.6,13.4,552
34:47.6,2/29/2024,18.3080698,42.7540843,-88.1,-11.5,13.4,552
34:47.6,2/29/2024,18.3080697,42.7540853,-102.3,-10.7,16.6,36
34:47.6,2/29/2024,18.3080697,42.7540853,-92.7,-10.6,14,998
34:47.6,2/29/2024,18.3080697,42.7540855,-92.7,-10.6,11.9,998
34:47.6,2/29/2024,18.3080697,42.7540855,-88.1,-11.5,13.1,552
34:47.6,2/29/2024,18.3080696,42.7540861,-92.7,-10.6,10.3,998
34:47.6,2/29/2024,18.3080696,42.7540861,-92.6,-10.7,10.3,998
34:47.6,2/29/2024,18.3080696,42.7540863,-88.1,-11.5,11.7,552
34:47.6,2/29/2024,18.3080696,42.7540863,-102.3,-10.7,11.9,36
34:47.7,2/29/2024,18.3080695,42.7540874,-102.3,-10.7,10.2,36
34:47.7,2/29/2024,18.3080694,42.7540876,-88.1,-11.5,11.6,552
34:47.7,2/29/2024,18.3080694,42.7540877,-92.6,-10.7,15.8,998
34:47.7,2/29/2024,18.3080694,42.7540878,-92.6,-10.7,16.5,998
34:47.7,2/29/2024,18.3080694,42.754088,-102.3,-10.7,7.2,36
34:47.7,2/29/2024,18.3080693,42.7540891,-88.1,-11.5,12.2,552
34:47.7,2/29/2024,18.3080692,42.7540893,-102.3,-10.7,13.8,36
34:47.7,2/29/2024,18.3080691,42.7540903,-92.6,-10.7,10.6,998
34:47.7,2/29/2024,18.3080691,42.7540904,-92.6,-10.7,12.9,998
34:47.7,2/29/2024,18.3080691,42.7540905,-102.3,-10.7,12.5,36
34:47.7,2/29/2024,18.3080691,42.7540906,-102.3,-10.7,6.9,36
34:47.7,2/29/2024,18.308069,42.7540914,-88.1,-11.5,10,552
34:47.7,2/29/2024,18.3080689,42.7540918,-92.6,-10.7,11.1,998
34:47.7,2/29/2024,18.3080689,42.7540918,-102.3,-10.7,10.1,36
34:47.8,2/29/2024,18.3080689,42.7540919,-103.7,-10.9,10.1,36
34:47.8,2/29/2024,18.3080689,42.7540922,-88.1,-11.5,11.5,552
34:47.8,2/29/2024,18.3080688,42.7540932,-88.1,-11.5,11.4,552
34:47.8,2/29/2024,18.3080687,42.7540933,-86.4,-11,11.4,552
34:47.8,2/29/2024,18.3080686,42.7540945,-92.6,-10.7,12.4,998
34:47.8,2/29/2024,18.3080686,42.7540945,-103.7,-10.9,10.6,36
34:47.8,2/29/2024,18.3080686,42.7540945,-92.6,-10.7,13.1,998
34:47.8,2/29/2024,18.3080686,42.7540946,-86.4,-11,11.2,552
34:47.8,2/29/2024,18.3080685,42.754095,-86.4,-11,12.5,552
34:47.8,2/29/2024,18.3080685,42.7540951,-103.7,-10.9,15.8,36
34:47.8,2/29/2024,18.3080683,42.7540967,-92.6,-10.7,11.1,998
34:47.8,2/29/2024,18.3080683,42.7540967,-103.7,-10.9,19.2,36
34:47.8,2/29/2024,18.3080683,42.7540967,-91.9,-10.7,11.1,998
34:47.8,2/29/2024,18.3080683,42.7540967,-91.9,-10.7,12.8,998
34:47.8,2/29/2024,18.3080683,42.7540969,-103.7,-10.9,16.2,36
34:47.8,2/29/2024,18.3080683,42.754097,-86.4,-11,11.4,552
34:47.8,2/29/2024,18.3080683,42.7540971,-86.4,-11,10.8,552
34:47.9,2/29/2024,18.3080682,42.7540976,-91.9,-10.7,11.6,998
34:47.9,2/29/2024,18.3080682,42.7540977,-91.9,-10.7,13.7,998
34:47.9,2/29/2024,18.3080682,42.754098,-103.7,-10.9,13.3,36
34:47.9,2/29/2024,18.3080682,42.7540982,-86.4,-11,11.9,552
34:47.9,2/29/2024,18.308068,42.7540996,-103.7,-10.9,18.1,36
34:47.9,2/29/2024,18.308068,42.7540996,-86.4,-11,12.9,552
34:47.9,2/29/2024,18.3080679,42.7541003,-91.9,-10.7,11.2,998
34:47.9,2/29/2024,18.3080679,42.7541006,-91.9,-10.7,13.7,998
34:47.9,2/29/2024,18.3080679,42.7541009,-103.7,-10.9,8.6,36
34:47.9,2/29/2024,18.3080678,42.7541011,-103.7,-10.9,13.3,36
34:47.9,2/29/2024,18.3080677,42.7541021,-86.4,-11,11.9,552
34:47.9,2/29/2024,18.3080677,42.7541024,-86.4,-11,12.2,552
34:47.9,2/29/2024,18.3080677,42.7541026,-91.9,-10.7,14.1,998
34:47.9,2/29/2024,18.3080677,42.7541027,-87.2,-10.8,12.2,552
34:47.9,2/29/2024,18.3080676,42.7541032,-103.5,-10.8,13.3,36
34:47.9,2/29/2024,18.3080676,42.7541032,-87.2,-10.8,12.3,552
34:47.9,2/29/2024,18.3080676,42.7541032,-103.5,-10.8,11.6,36
34:48.0,2/29/2024,18.3080674,42.7541051,-103.5,-10.8,14.2,36
34:48.0,2/29/2024,18.3080674,42.7541054,-87.2,-10.8,13.2,552
34:48.0,2/29/2024,18.3080674,42.7541055,-91.9,-10.7,12.3,998
34:48.0,2/29/2024,18.3080673,42.7541056,-91.9,-10.7,13,998
34:48.0,2/29/2024,18.3080673,42.7541056,-91.3,-10.6,13,998
34:48.0,2/29/2024,18.3080673,42.7541057,-91.3,-10.6,11.5,998
34:48.0,2/29/2024,18.3080673,42.7541059,-103.5,-10.8,19.3,36
34:48.0,2/29/2024,18.3080673,42.754106,-103.5,-10.8,14.2,36
34:48.0,2/29/2024,18.3080673,42.7541061,-87.2,-10.8,13.8,552
34:48.0,2/29/2024,18.3080672,42.7541068,-87.2,-10.8,13.8,552
34:48.0,2/29/2024,18.3080672,42.7541071,-87.2,-10.8,13.8,552
34:48.0,2/29/2024,18.3080671,42.7541075,-103.5,-10.8,14.2,36
34:48.0,2/29/2024,18.3080671,42.7541076,-103.5,-10.8,10.3,36
34:48.0,2/29/2024,18.3080671,42.7541078,-87.2,-10.8,12.8,552
34:48.1,2/29/2024,18.3080669,42.7541094,-87.2,-10.8,12.7,552
34:48.1,2/29/2024,18.3080669,42.7541098,-91.3,-10.6,11.5,998
34:48.1,2/29/2024,18.3080669,42.7541098,-103.5,-10.8,12.5,36
34:48.1,2/29/2024,18.3080669,42.7541098,-91.3,-10.6,12.9,998
34:48.1,2/29/2024,18.3080669,42.7541099,-91.3,-10.6,12.1,998
34:48.1,2/29/2024,18.3080669,42.75411,-91.3,-10.6,14.1,998
34:48.1,2/29/2024,18.3080668,42.7541104,-87.2,-10.8,11.9,552
34:48.1,2/29/2024,18.3080667,42.7541112,-103.5,-10.8,12.3,36
34:48.1,2/29/2024,18.3080667,42.7541113,-103.5,-10.8,14,36
34:48.1,2/29/2024,18.3080667,42.7541113,-102.7,-10.7,14,36
34:48.1,2/29/2024,18.3080666,42.7541124,-87.2,-10.8,9.9,552
34:48.1,2/29/2024,18.3080666,42.7541125,-86.9,-10.7,9.9,552
34:48.1,2/29/2024,18.3080665,42.7541128,-102.7,-10.7,11.5,36
34:48.1,2/29/2024,18.3080665,42.7541128,-86.9,-10.7,9.1,552
34:48.1,2/29/2024,18.3080664,42.7541141,-86.9,-10.7,8.8,552
34:48.1,2/29/2024,18.3080664,42.7541142,-102.7,-10.7,14,36
34:48.2,2/29/2024,18.3080662,42.7541163,-102.7,-10.7,9.4,36
34:48.2,2/29/2024,18.3080661,42.7541163,-102.7,-10.7,13.7,36
34:48.2,2/29/2024,18.3080661,42.7541164,-86.9,-10.7,9.2,552
34:48.2,2/29/2024,18.3080661,42.7541167,-86.9,-10.7,12.9,552
34:48.2,2/29/2024,18.308066,42.7541173,-102.7,-10.7,6.4,36
34:48.2,2/29/2024,18.3080658,42.7541192,-86.9,-10.7,14,552
34:48.2,2/29/2024,18.3080658,42.7541195,-91.3,-10.6,11,998
34:48.2,2/29/2024,18.3080658,42.7541195,-91.3,-10.6,13.6,998
34:48.2,2/29/2024,18.3080658,42.7541199,-102.7,-10.7,13.2,36
34:48.2,2/29/2024,18.3080657,42.7541202,-86.9,-10.7,14.7,552
34:48.2,2/29/2024,18.3080657,42.7541206,-86.9,-10.7,13.9,552
34:48.2,2/29/2024,18.3080657,42.7541207,-102.7,-10.7,13.7,36
34:48.2,2/29/2024,18.3080656,42.7541209,-102.7,-10.7,8.6,36
34:48.3,2/29/2024,18.3080655,42.7541219,-86.9,-10.7,12.6,552
34:48.3,2/29/2024,18.3080655,42.754122,-87,-10.7,12.6,552
34:48.3,2/29/2024,18.3080655,42.7541222,-104.2,-10.8,8.6,36
34:48.3,2/29/2024,18.3080655,42.7541223,-104.2,-10.8,14.4,36
34:48.3,2/29/2024,18.3080655,42.7541225,-87,-10.7,14.1,552
34:48.3,2/29/2024,18.3080654,42.7541229,-91.3,-10.6,18,998
34:48.3,2/29/2024,18.3080654,42.7541229,-88.4,-10.5,18,998
34:48.3,2/29/2024,18.3080652,42.7541246,-88.4,-10.5,18,998
34:48.3,2/29/2024,18.3080652,42.7541246,-87,-10.7,11.5,552
34:48.3,2/29/2024,18.3080652,42.7541246,-104.2,-10.8,8.6,36
34:48.3,2/29/2024,18.3080652,42.7541246,-88.4,-10.5,18.3,998
34:48.3,2/29/2024,18.3080652,42.7541251,-104.2,-10.8,10.9,36
34:48.3,2/29/2024,18.3080652,42.7541252,-104.2,-10.8,12,36
34:48.3,2/29/2024,18.3080651,42.7541256,-87,-10.7,12.2,552
34:48.3,2/29/2024,18.3080651,42.754126,-87,-10.7,11.3,552
34:48.3,2/29/2024,18.3080649,42.7541274,-104.2,-10.8,18,36
34:48.4,2/29/2024,18.3080649,42.7541276,-87,-10.7,12.6,552
34:48.4,2/29/2024,18.3080648,42.7541287,-104.2,-10.8,12.7,36
34:48.4,2/29/2024,18.3080648,42.7541287,-87,-10.7,14.5,552
34:48.4,2/29/2024,18.3080645,42.7541308,-104.2,-10.8,18,36
34:48.4,2/29/2024,18.3080645,42.7541308,-87,-10.7,14,552
34:48.4,2/29/2024,18.3080645,42.7541308,-104.2,-10.8,13.4,36
34:48.4,2/29/2024,18.3080645,42.7541311,-87,-10.7,13,552
34:48.4,2/29/2024,18.3080645,42.7541311,-86.5,-10.6,13,552
34:48.4,2/29/2024,18.3080644,42.7541317,-102.8,-10.7,13.4,36
34:48.4,2/29/2024,18.3080644,42.7541318,-102.8,-10.7,13.3,36
34:48.4,2/29/2024,18.3080644,42.7541321,-86.5,-10.6,11.4,552
34:48.4,2/29/2024,18.3080643,42.7541332,-102.8,-10.7,18.2,36
34:48.5,2/29/2024,18.3080642,42.7541343,-88.4,-10.5,13.3,998
34:48.5,2/29/2024,18.3080641,42.7541344,-86.5,-10.6,12.8,552
34:48.5,2/29/2024,18.3080641,42.7541346,-102.8,-10.7,18.2,36
34:48.5,2/29/2024,18.3080641,42.7541347,-86.5,-10.6,13.7,552
34:48.5,2/29/2024,18.308064,42.7541358,-86.5,-10.6,13.5,552
34:48.5,2/29/2024,18.3080638,42.7541371,-102.8,-10.7,18.3,36
34:48.5,2/29/2024,18.3080638,42.7541371,-86.5,-10.6,12.7,552
34:48.5,2/29/2024,18.3080638,42.7541378,-102.8,-10.7,18.4,36
34:48.5,2/29/2024,18.3080637,42.754138,-86.5,-10.6,13.2,552
34:48.5,2/29/2024,18.3080637,42.7541381,-88.4,-10.5,13.3,998
34:48.6,2/29/2024,18.3080635,42.7541404,-102.8,-10.7,11.5,36
34:48.6,2/29/2024,18.3080635,42.7541404,-102.8,-10.7,17,36
34:48.6,2/29/2024,18.3080635,42.7541404,-86.5,-10.6,10.9,552
34:48.6,2/29/2024,18.3080634,42.7541408,-86.5,-10.6,12.8,552
34:48.6,2/29/2024,18.3080634,42.7541409,-86,-10.6,12.8,552
34:48.6,2/29/2024,18.3080633,42.7541416,-99.6,-10.6,17,36
34:48.6,2/29/2024,18.3080633,42.7541417,-86,-10.6,10.9,552
34:48.6,2/29/2024,18.3080633,42.7541418,-92.2,-10.8,13.3,998
34:48.6,2/29/2024,18.3080633,42.7541418,-92.2,-10.8,14.6,998
34:48.6,2/29/2024,18.3080633,42.7541419,-92.2,-10.8,14.9,998
34:48.6,2/29/2024,18.3080633,42.754142,-92.2,-10.8,18.7,998
34:48.6,2/29/2024,18.3080633,42.754142,-99.6,-10.6,14.3,36
34:48.6,2/29/2024,18.3080632,42.7541428,-86,-10.6,10.4,552
34:48.6,2/29/2024,18.3080631,42.7541437,-99.6,-10.6,17.7,36
34:48.6,2/29/2024,18.308063,42.7541443,-86,-10.6,13.3,552
34:48.6,2/29/2024,18.308063,42.7541448,-99.6,-10.6,17.6,36
34:48.6,2/29/2024,18.308063,42.7541449,-99.6,-10.6,17.1,36
34:48.6,2/29/2024,18.3080629,42.7541452,-92.2,-10.8,17.5,998
34:48.6,2/29/2024,18.3080629,42.7541452,-92.2,-10.8,12.8,998
34:48.7,2/29/2024,18.3080629,42.7541455,-86,-10.6,14.8,552
34:48.7,2/29/2024,18.3080628,42.7541465,-99.6,-10.6,11.3,36
34:48.7,2/29/2024,18.3080628,42.7541465,-86,-10.6,14.9,552
34:48.7,2/29/2024,18.3080627,42.7541477,-86,-10.6,15,552
34:48.7,2/29/2024,18.3080626,42.7541479,-99.6,-10.6,14.9,36
34:48.7,2/29/2024,18.3080626,42.754148,-99.6,-10.6,12.5,36
34:48.7,2/29/2024,18.3080626,42.7541484,-92.2,-10.8,16.8,998
34:48.7,2/29/2024,18.3080626,42.7541484,-92.2,-10.8,13.4,998
34:48.7,2/29/2024,18.3080626,42.7541485,-92.2,-10.8,12.5,998
34:48.7,2/29/2024,18.3080626,42.7541485,-91.6,-10.6,12.5,998
34:48.7,2/29/2024,18.3080624,42.75415,-99.6,-10.6,14.1,36
34:48.7,2/29/2024,18.3080624,42.75415,-86,-10.6,13.6,552
34:48.7,2/29/2024,18.3080624,42.75415,-98.8,-10.6,14.1,36
34:48.7,2/29/2024,18.3080623,42.7541507,-86,-10.6,12,552
34:48.7,2/29/2024,18.3080623,42.7541507,-91.6,-10.6,16.9,998
34:48.7,2/29/2024,18.3080623,42.7541507,-89,-10.6,12,552
34:48.7,2/29/2024,18.3080623,42.7541508,-91.6,-10.6,10.4,998
34:48.7,2/29/2024,18.3080623,42.754151,-91.6,-10.6,12.9,998
34:48.7,2/29/2024,18.3080623,42.7541512,-89,-10.6,13.6,552
34:48.7,2/29/2024,18.3080623,42.7541513,-98.8,-10.6,13.5,36
34:48.8,2/29/2024,18.3080621,42.7541528,-98.8,-10.6,19.5,36
34:48.8,2/29/2024,18.3080621,42.7541529,-89,-10.6,14,552
34:48.8,2/29/2024,18.3080621,42.754153,-98.8,-10.6,17.3,36
34:48.8,2/29/2024,18.308062,42.754154,-89,-10.6,20.1,552
34:48.8,2/29/2024,18.3080619,42.7541549,-91.6,-10.6,13.2,998
34:48.8,2/29/2024,18.3080619,42.7541549,-91.6,-10.6,13.7,998
34:48.8,2/29/2024,18.3080619,42.754155,-98.8,-10.6,16.7,36
34:48.8,2/29/2024,18.3080618,42.754155,-91.6,-10.6,14.4,998
34:48.8,2/29/2024,18.3080618,42.754155,-89,-10.6,19.6,552
34:48.8,2/29/2024,18.3080617,42.7541563,-98.8,-10.6,17.5,36
34:48.8,2/29/2024,18.3080617,42.7541564,-98.8,-10.6,16.9,36
34:48.8,2/29/2024,18.3080617,42.7541564,-89,-10.6,18.2,552
34:48.9,2/29/2024,18.3080616,42.7541576,-89,-10.6,18.8,552
34:48.9,2/29/2024,18.3080614,42.7541594,-98.8,-10.6,12.7,36
34:48.9,2/29/2024,18.3080614,42.7541595,-98.8,-10.6,11.9,36
34:48.9,2/29/2024,18.3080614,42.7541595,-89,-10.6,20.8,552
34:48.9,2/29/2024,18.3080613,42.7541595,-100.3,-10.6,11.9,36
34:48.9,2/29/2024,18.3080613,42.7541598,-89,-10.6,19.9,552
34:48.9,2/29/2024,18.3080613,42.75416,-91.6,-10.6,16,998
34:48.9,2/29/2024,18.3080613,42.75416,-91.6,-10.6,14.2,998
34:48.9,2/29/2024,18.3080613,42.75416,-91.3,-10.6,14.2,998
34:48.9,2/29/2024,18.3080613,42.75416,-91.3,-10.6,13.5,998
34:48.9,2/29/2024,18.3080612,42.7541606,-85.8,-10.6,19.9,552
34:48.9,2/29/2024,18.3080612,42.7541609,-85.8,-10.6,21.4,552
34:48.9,2/29/2024,18.308061,42.7541624,-100.3,-10.6,12,36
34:48.9,2/29/2024,18.308061,42.7541625,-100.3,-10.6,7.5,36
34:48.9,2/29/2024,18.308061,42.7541626,-85.8,-10.6,18.6,552
34:48.9,2/29/2024,18.3080609,42.7541633,-85.8,-10.6,18.1,552
34:48.9,2/29/2024,18.3080609,42.7541633,-100.3,-10.6,11.7,36
34:49.0,2/29/2024,18.3080607,42.7541649,-100.3,-10.6,16.4,36
34:49.0,2/29/2024,18.3080607,42.754165,-100.3,-10.6,11.3,36
34:49.0,2/29/2024,18.3080607,42.7541651,-85.8,-10.6,18.5,552
34:49.0,2/29/2024,18.3080606,42.7541667,-100.3,-10.6,11.3,36
34:49.0,2/29/2024,18.3080606,42.7541667,-85.8,-10.6,14.1,552
34:49.0,2/29/2024,18.3080605,42.7541667,-100.3,-10.6,13.9,36
34:49.0,2/29/2024,18.3080605,42.7541675,-85.8,-10.6,11.8,552
34:49.0,2/29/2024,18.3080603,42.7541685,-100.3,-10.6,17.1,36
34:49.0,2/29/2024,18.3080603,42.7541688,-85.8,-10.6,11.6,552
34:49.0,2/29/2024,18.3080603,42.7541692,-85.8,-10.6,17.9,552
34:49.0,2/29/2024,18.3080603,42.7541693,-85.5,-10.5,17.9,552
34:49.0,2/29/2024,18.3080603,42.7541694,-91.3,-10.6,13.5,998
34:49.0,2/29/2024,18.3080603,42.7541694,-91.3,-10.6,13.1,998
34:49.1,2/29/2024,18.3080601,42.7541703,-100.3,-10.6,10.9,36
34:49.1,2/29/2024,18.3080601,42.7541703,-102.7,-10.9,10.9,36
34:49.1,2/29/2024,18.3080601,42.7541704,-102.7,-10.9,16.3,36
34:49.1,2/29/2024,18.3080601,42.7541707,-85.5,-10.5,19.5,552
34:49.1,2/29/2024,18.3080599,42.7541722,-102.7,-10.9,12.5,36
34:49.1,2/29/2024,18.3080599,42.7541723,-85.5,-10.5,14.2,552
34:49.1,2/29/2024,18.3080599,42.7541728,-85.5,-10.5,19.1,552
34:49.1,2/29/2024,18.3080598,42.7541733,-102.7,-10.9,13.5,36
34:49.1,2/29/2024,18.3080598,42.7541734,-102.7,-10.9,8.2,36
34:49.1,2/29/2024,18.3080597,42.7541744,-85.5,-10.5,20.4,552
34:49.1,2/29/2024,18.3080596,42.7541753,-102.7,-10.9,10.4,36
34:49.2,2/29/2024,18.3080596,42.7541757,-85.5,-10.5,14.5,552
34:49.2,2/29/2024,18.3080595,42.7541761,-102.7,-10.9,17.4,36
34:49.2,2/29/2024,18.3080594,42.7541772,-85.5,-10.5,18.1,552
34:49.2,2/29/2024,18.3080593,42.7541777,-102.7,-10.9,16.3,36
34:49.2,2/29/2024,18.3080593,42.7541777,-85.5,-10.5,21.8,552
34:49.2,2/29/2024,18.3080593,42.7541778,-102.7,-10.9,12.6,36
34:49.2,2/29/2024,18.3080592,42.7541793,-102.1,-10.8,12.6,36
34:49.2,2/29/2024,18.3080591,42.7541793,-102.1,-10.8,13,36
34:49.2,2/29/2024,18.3080591,42.7541795,-85.5,-10.5,21.7,552
34:49.2,2/29/2024,18.3080591,42.7541798,-83.8,-10.5,21.7,552
34:49.2,2/29/2024,18.308059,42.7541805,-83.8,-10.5,23.7,552
34:49.3,2/29/2024,18.3080589,42.7541815,-102.1,-10.8,13.4,36
34:49.3,2/29/2024,18.3080589,42.7541817,-83.8,-10.5,18.8,552
34:49.3,2/29/2024,18.3080588,42.7541828,-91.3,-10.6,14.4,998
34:49.3,2/29/2024,18.3080588,42.7541828,-83.8,-10.5,13.7,552
34:49.3,2/29/2024,18.3080587,42.7541832,-102.1,-10.8,14.5,36
34:49.3,2/29/2024,18.3080587,42.7541833,-102.1,-10.8,12.6,36
34:49.3,2/29/2024,18.3080587,42.7541837,-83.8,-10.5,18,552
34:49.3,2/29/2024,18.3080585,42.7541849,-102.1,-10.8,14.6,36
34:49.3,2/29/2024,18.3080585,42.7541853,-83.8,-10.5,14.5,552
34:49.3,2/29/2024,18.3080584,42.7541862,-102.1,-10.8,17.1,36
34:49.3,2/29/2024,18.3080584,42.7541862,-102.1,-10.8,16.4,36
34:49.3,2/29/2024,18.3080583,42.7541868,-83.8,-10.5,17.8,552
34:49.4,2/29/2024,18.3080582,42.7541877,-88,-10.4,14.4,998
34:49.4,2/29/2024,18.3080582,42.7541877,-83.8,-10.5,19.4,552
