Time,Date,Latitude,Longitude,Serving Cell RSRP (dBm),Serving Cell RS SINR (dB),Serving Cell RSRQ (dB),Serving Cell Identity
35:10.5,2/29/2024,18.307688,42.7544619,-78.6,3.1,-18.9,449
35:10.5,2/29/2024,18.3076864,42.7544602,-79.2,5.3,-15.7,449
35:10.6,2/29/2024,18.3076846,42.7544584,-78.2,5.3,-15.8,449
35:10.6,2/29/2024,18.3076846,42.7544584,-78.2,5.3,-15.8,449
35:10.6,2/29/2024,18.307684,42.7544577,-78.2,5.3,-15.8,449
35:10.7,2/29/2024,18.3076818,42.7544554,-79.4,6.6,-18.7,115
35:10.8,2/29/2024,18.3076789,42.7544523,-82,7.5,-8.2,357
35:11.0,2/29/2024,18.3076767,42.7544478,-75.8,2.8,-13.2,449
35:11.0,2/29/2024,18.3076767,42.7544478,-75.8,2.8,-13.2,449
35:11.0,2/29/2024,18.3076767,42.7544478,-75.8,2.8,-13.2,449
35:11.0,2/29/2024,18.3076767,42.7544478,-75.8,2.8,-13.2,449
35:11.1,2/29/2024,18.3076759,42.7544457,-76.2,-0.2,-15.8,449
35:11.1,2/29/2024,18.3076759,42.7544457,-76.2,-0.2,-15.8,449
35:11.1,2/29/2024,18.3076748,42.7544432,-77.2,-0.2,-16.6,449
35:11.1,2/29/2024,18.3076748,42.7544432,-77.2,-0.2,-16.6,449
35:11.2,2/29/2024,18.3076741,42.7544414,-77.2,-0.2,-16.6,449
35:11.5,2/29/2024,18.3076706,42.754433,-77.2,-0.2,-16.6,449
35:11.5,2/29/2024,18.3076706,42.754433,-77.2,-0.2,-16.6,449
35:11.5,2/29/2024,18.3076706,42.754433,-77.2,-0.2,-16.6,449
35:11.5,2/29/2024,18.3076706,42.754433,-77.2,-0.2,-16.6,449
35:11.6,2/29/2024,18.3076697,42.7544306,-77.9,10.2,-18.1,449
35:11.6,2/29/2024,18.3076693,42.7544297,-76.3,10.2,-17.1,449
35:11.7,2/29/2024,18.3076683,42.7544273,-76.4,10.2,-17.2,449
35:11.7,2/29/2024,18.3076683,42.7544273,-76.4,10.2,-17.2,449
35:11.7,2/29/2024,18.3076682,42.754427,-79.1,5.4,-18.3,115
35:11.8,2/29/2024,18.3076667,42.7544233,-87.2,4.7,-9.9,357
35:12.0,2/29/2024,18.3076661,42.754419,-81,4.3,-18.9,449
35:12.0,2/29/2024,18.3076661,42.754419,-81,4.3,-18.9,449
35:12.0,2/29/2024,18.3076661,42.754419,-81,4.3,-18.9,449
35:12.0,2/29/2024,18.3076661,42.754419,-81,4.3,-18.9,449
35:12.1,2/29/2024,18.3076658,42.7544169,-78.8,1.7,-17.4,449
35:12.1,2/29/2024,18.3076657,42.7544163,-78.8,1.7,-17.4,449
35:12.2,2/29/2024,18.3076655,42.7544145,-79.2,1.7,-17.6,449
35:12.2,2/29/2024,18.3076655,42.7544145,-79.2,1.7,-17.6,449
35:12.2,2/29/2024,18.3076654,42.7544137,-79.2,1.7,-17.6,449
35:12.5,2/29/2024,18.3076645,42.754407,-74.9,1.7,,169
35:12.5,2/29/2024,18.3076644,42.7544061,-70.4,13.7,-12.1,169
35:12.5,2/29/2024,18.3076644,42.7544061,-70.8,13.3,-8.3,169
35:12.6,2/29/2024,18.3076641,42.754404,-73.6,14.8,-14.1,169
35:12.7,2/29/2024,18.3076638,42.7544016,-74.1,14.8,-15.1,169
35:12.7,2/29/2024,18.3076638,42.7544016,-74.1,14.8,-15.1,169
35:12.7,2/29/2024,18.3076638,42.7544015,-76.7,8.4,-17.6,115
35:12.7,2/29/2024,18.3076637,42.754401,-74.1,14.8,-15.1,169
35:12.8,2/29/2024,18.3076634,42.7543989,-85,5.5,-11.1,357
35:13.2,2/29/2024,18.3076637,42.7543934,-76.4,10.6,-17.9,169
35:13.7,2/29/2024,18.3076641,42.7543875,-74.4,11.4,-17.2,115
35:13.8,2/29/2024,18.3076642,42.7543858,-83.3,6.2,-9.5,357
35:14.2,2/29/2024,18.3076645,42.7543811,-75.4,10.7,-19.4,169
35:14.7,2/29/2024,18.3076649,42.7543748,-75.9,7.3,-15.7,115
35:14.9,2/29/2024,18.307665,42.7543734,-84.9,12.7,-8.6,357
35:15.2,2/29/2024,18.3076649,42.754375,-75,12.8,-18.9,169
35:15.7,2/29/2024,18.3076648,42.7543772,-75.4,6.2,-18.1,115
35:15.8,2/29/2024,18.3076647,42.7543778,-83.7,8.3,-8.8,357
35:16.2,2/29/2024,18.3076646,42.7543794,-74.2,14,-10.8,169
35:16.7,2/29/2024,18.3076645,42.7543816,-74.9,5.6,-17.9,115
35:16.8,2/29/2024,18.3076644,42.7543822,-83.2,14.4,-9.8,357
35:17.2,2/29/2024,18.3076643,42.7543839,-76.1,13.8,-9.6,169
35:17.7,2/29/2024,18.3076642,42.7543862,-74.9,5.7,-18.2,115
35:17.8,2/29/2024,18.3076642,42.7543866,-85.4,14.6,-8.9,357
35:18.2,2/29/2024,18.3076641,42.7543884,-76.4,12.1,-11.6,169
35:18.7,2/29/2024,18.3076639,42.7543905,-74.1,7.4,-17.4,115
35:18.8,2/29/2024,18.3076639,42.7543911,-84.9,6.7,-10,357
35:19.2,2/29/2024,18.3076638,42.7543928,-75,11.2,-8.9,169
35:19.7,2/29/2024,18.3076636,42.7543951,-76.4,7.9,-18.9,115
35:19.8,2/29/2024,18.3076636,42.7543955,-83.9,5.6,-9.5,357
35:20.2,2/29/2024,18.3076635,42.7543972,-75.9,11.2,-13.2,169
35:20.7,2/29/2024,18.3076634,42.7543994,-74.7,8.2,-18.5,115
35:20.8,2/29/2024,18.3076633,42.7544,-86.1,9.4,-9.4,357
35:21.2,2/29/2024,18.3076633,42.7544,-76.2,7.6,-11.6,169
35:21.7,2/29/2024,18.3076633,42.7544,-79.8,6.4,-17.6,115
35:21.8,2/29/2024,18.3076633,42.7544,-85.3,9.4,-9.7,357
35:22.3,2/29/2024,18.3076633,42.7544,-77.1,9.3,-8.7,169
35:22.7,2/29/2024,18.3076633,42.7544,-74.1,7.2,-15.4,115
35:22.9,2/29/2024,18.3076633,42.7544,-82.9,6.7,-9.9,357
35:23.2,2/29/2024,18.3076633,42.7544,-75.8,9.7,-10.8,169
